author,year,title,journal,volume,issue,pages,first_page,last_page,doi,url,annotation,keywords,notes,raw_publication_info
"Teich, Nathaniel",1987,Rogerian problem-solving and the rhetoric of argumentation,JAC: Journal of Advanced Composition,7,1-2,52-61,52,61,,,,"problem-solving, Carl Rogers, argumentation, Rogerian, rhetoric, advanced",,"*JAC: Journal of Advanced Composition 07.1-2*, 52-61"
"House, Elizabeth B.; William J. House",1987,Problem-solving: The debates in composition and psychology,JAC: Journal of Advanced Composition,7,1-2,62-75,62,75,,,,"problem-solving, cognitive, psychology, invention",,"*JAC: Journal of Advanced Composition 07.1-2*, 62-75"
"Winterowd, W. Ross",1987,'Chicken' and poetry: The unspeakable and the unsayable,JAC: Journal of Advanced Composition,7,1-2,76-80,76,80,,,,"communication, poetry, inexpressible, power, language, poetry",,"*JAC: Journal of Advanced Composition 07.1-2*, 76-80"
"Hemmeter, Thomas; David Conners",1987,Research papers in economics: A collaborative approach,JAC: Journal of Advanced Composition,7,1-2,81-91,81,91,,,,"term-paper, advanced, economics-course, collaboration, pedagogy, sentence, revising, process, industry, organizational",,"*JAC: Journal of Advanced Composition 07.1-2*, 81-91"
"Stewart, Donald C",1987,Some thoughts on arrangement,JAC: Journal of Advanced Composition,7,1-2,92-100,92,100,,,,"arrangement, flexibility, formalist, coherence, classical-rhetoric",,"*JAC: Journal of Advanced Composition 07.1-2*, 92-100"
"Horning, Alice S",1987,Readability: Reading/writing tools for measurement,JAC: Journal of Advanced Composition,7,1-2,101-111,101,111,,,,"read-write, readability, measurement, vocabulary, nominal, cohesion, content, text-analysis, redundancy, cloze, proposition, text-analysis",,"*JAC: Journal of Advanced Composition 07.1-2*, 101-111"
"Andersen, Laurie J",1987,A sense of audience or conventional wisdom?,JAC: Journal of Advanced Composition,7,1-2,112-120,112,120,,,,"audience-awareness, convention, AIDS, journalism, Newsweek, Harpers, register, wisdom",,"*JAC: Journal of Advanced Composition 07.1-2*, 112-120"
"Clifford, John",1987,Ideology into discourse: A historical perspective,JAC: Journal of Advanced Composition,7,1-2,121-130,121,130,,,,"discourse, ideology, history, truth, community, contextualism, academic, professional, bridging, pedagogy, postpositivist, discourse, theory, cultural, change, contradiction, department",,"*JAC: Journal of Advanced Composition 07.1-2*, 121-130"
"Freed, Richard C.; Glenn J. Broadhead",1987,Using high-affect goals in teaching proposal writing,JAC: Journal of Advanced Composition,7,1-2,131-138,131,138,,,,"proposal-writing, techcom, pedagogy, aim, sentence, revising",,"*JAC: Journal of Advanced Composition 07.1-2*, 131-138"
"McDaniel, Ellen",1987,Bibliography of text-analysis and writing-instruction software,JAC: Journal of Advanced Composition,7,1-2,139-171,139,171,,,,"text-analysis, computer-analysis, CAI, bibliography, survey, measurement, software",,"*JAC: Journal of Advanced Composition 07.1-2*, 139-171"
"Dasenbrock, Reed Way",1988,Becoming aware of the myth of presence,JAC: Journal of Advanced Composition,8,1-2,1-11,1,11,,,,"pedagogy, deconstruction, presence, myth, Derrida, logocentric, talk-write, text-analysis",,"*JAC: Journal of Advanced Composition 08.1-2*, 1-11"
"Jones, Steven Jeffrey",1988,The logic of question and answer and the hermeneutics of writing,JAC: Journal of Advanced Composition,8,1-2,12-22,12,22,,,,"composing, hermeneutical, question-answer, logic, development, deficit, pedagogy, contextualism, community, Gadamer, Ricoeur, dialectics, interpretive, aporia",,"*JAC: Journal of Advanced Composition 08.1-2*, 12-22"
"Schilb, John",1988,Ideology and composition scholarship,JAC: Journal of Advanced Composition,8,1-2,22-29,22,29,,,,"composition-studies, scholarship, ideology, Research in the Teaching of English, RTE, research-article, research-method, political",,"*JAC: Journal of Advanced Composition 08.1-2*, 22-29"
"Foster, David",1988,What are we talking about when we talk about composition?,JAC: Journal of Advanced Composition,8,1-2,30-40,30,40,,,,"English-profession, composition-studies, empirical, George Hillock, Richard Beach, Lillian Bridwell, Stephen North",,"*JAC: Journal of Advanced Composition 08.1-2*, 30-40"
"Keene, Michael L.; L. Bensel-Meyers",1988,The establishment of rhetoric: Developing a sense of community,JAC: Journal of Advanced Composition,8,1-2,41-49,41,49,,,,"rhetoric, discourse-community, WAC, department, disciplinarity, science establishment",,"*JAC: Journal of Advanced Composition 08.1-2*, 41-49"
"Knoblauch, C.H",1988,Some observations on Freire's Pedagogy of the Oppressed,JAC: Journal of Advanced Composition,8,1-2,50-54,50,54,,,,"Freire, Pedagogy of the Oppressed, adulation, influence, political, subversive, pedagogy",,"*JAC: Journal of Advanced Composition 08.1-2*, 50-54"
"Nielsen, Elizabeth",1988,Linguistic sexism in business writing textbooks,JAC: Journal of Advanced Composition,8,1-2,55-65,55,65,,,,"textbook, business-communication, text-analysis, sexism, linguistic, text-analysis, sexist language",,"*JAC: Journal of Advanced Composition 08.1-2*, 55-65"
"Crew, Louie",1988,"The style-checker as tonic, not tranquilizer",JAC: Journal of Advanced Composition,8,1-2,66-70,66,70,,,,"computer-analysis, style-checker, improvement, style, tranquilization",,"*JAC: Journal of Advanced Composition 08.1-2*, 66-70"
"Meyer, Sam",1988,Prose by any other name: A context for teaching the rhetoric of titles,JAC: Journal of Advanced Composition,8,1-2,71-81,71,81,,,,"title, rhetoric, pedagogy, taxonomy",,"*JAC: Journal of Advanced Composition 08.1-2*, 71-81"
"Satterfield, Leon",1988,'Myself must I remake': An existentialist philosophy of composition,JAC: Journal of Advanced Composition,8,1-2,82-87,82,87,,,,"composition-studies, existentialism, write-to-learn, epistemic, self, discovery, authenticity, voice, philosophy",,"*JAC: Journal of Advanced Composition 08.1-2*, 82-87"
"Fuller, David",1988,A curious case of our responding habits: What do we respond to and why?,JAC: Journal of Advanced Composition,8,1-2,88-96,88,96,,,,"response, faculty-workshop, handwritten-print, text-analysis, anonymous, Hemingway, contrast-group, data, rater-bias, grading, teacher-rater, response-habit",,"*JAC: Journal of Advanced Composition 08.1-2*, 88-96"
"Connery, Brian A",1988,Using journals in the cross-curricular course: Restoring process,JAC: Journal of Advanced Composition,8,1-2,97-104,97,104,,,,"WAC, journal-writing, process",,"*JAC: Journal of Advanced Composition 08.1-2*, 97-104"
"Kinneavy, James L",1988,The exile of rhetoric from the liberal arts,JAC: Journal of Advanced Composition,8,1-2,105-112,105,112,,,,"rhetoric, liberal arts, history, schism, science academy, rhet-comp",,"*JAC: Journal of Advanced Composition 08.1-2*, 105-112"
"Covino, William A",1988,Defining advanced composition: Contributions from the history of rhetoric,JAC: Journal of Advanced Composition,8,1-2,113-122,113,122,,,,"advanced, rhetoric, history, disciplinary, formulaic",,"*JAC: Journal of Advanced Composition 08.1-2*, 113-122"
"Sipiora, Phillip",1988,Rearticulating the rhetorical tradition: The influence of a theory of discourse,JAC: Journal of Advanced Composition,8,1-2,123-136,123,136,,,,"discourse-rhetorical-theoryal, current-traditional, history, Kinneavy, A Theory of Discourse, liberal arts, rhetorical tradition, tradition",,"*JAC: Journal of Advanced Composition 08.1-2*, 123-136"
"Gates, Rosemary L",1988,"Causality, community, and the canons of reasoning: Classical rhetoric and writing across the curriculum",JAC: Journal of Advanced Composition,8,1-2,137-145,137,145,,,,"WAC, causality, community, reasoning, aitia, enthymeme, kairos, classical-rhetoric",,"*JAC: Journal of Advanced Composition 08.1-2*, 137-145"
"Winterowd, W. Ross",1988,Rediscovering the essay,JAC: Journal of Advanced Composition,8,1-2,146-157,146,157,,,,"essay, genre, informal, arrangement, Joan Didion, Lewis Thomas, Loren Eiseley",,"*JAC: Journal of Advanced Composition 08.1-2*, 146-157"
"Comprone, Joseph J",1988,Reading Oliver Sacks in a writing-across-the-curriculum course,JAC: Journal of Advanced Composition,8,1-2,158-166,158,166,,,,"WAC, readings, Oliver Sacks, pedagogy, disciplinary, discourse, science-writing, popular",,"*JAC: Journal of Advanced Composition 08.1-2*, 158-166"
"Ewald, Helen Rothschild",1988,The implied reader in persuasive discourse,JAC: Journal of Advanced Composition,8,1-2,167-179,167,179,,,,"implied-reader, discourse, persuasive, audience, text-analysis, Gerald Prince, persuasive",,"*JAC: Journal of Advanced Composition 08.1-2*, 167-179"
"Olson, Gary A.; Richard Rorty",1989,Social construction and composition theory: A conversation with Richard Rorty [interview],JAC: Journal of Advanced Composition,9,1-2,1-9,1,9,,,,"theory, social, constructivism, Richard Rorty, pragmatism, WAC, cultural literacy, social",,"*JAC: Journal of Advanced Composition 09.1-2*, 1-9"
"Bleich, David",1989,Genders of writing,JAC: Journal of Advanced Composition,9,1-2,10-25,10,25,,,,"composing, gender, expository, academic, text-analysis, ideology, pedagogy",,"*JAC: Journal of Advanced Composition 09.1-2*, 10-25"
"Hagge, John",1989,Ties that bind: Ancient epistolography and modern business communication,JAC: Journal of Advanced Composition,9,1-2,26-44,26,44,,,,"business-communication, letter-writing, history, epistolography, audience, clarity, conciseness, classical-rhetoric, contemporary",,"*JAC: Journal of Advanced Composition 09.1-2*, 26-44"
"Smit, David W",1989,Some difficulties with collaborative learning,JAC: Journal of Advanced Composition,9,1-2,45-58,45,58,,,,"collaborative, learning-theory, research-method, abnormal discourse, Kenneth Bruffee, review-of-scholarship, improvement, group dynamic",,"*JAC: Journal of Advanced Composition 09.1-2*, 45-58"
"Gates, Rosemary L",1989,Applying Martin Greenman's concept of insight to composition theory,JAC: Journal of Advanced Composition,9,1-2,59-68,59,68,,,,"insight, Martin Greenman, theory, creativity, process, incubation, insight, illumination, verification",,"*JAC: Journal of Advanced Composition 09.1-2*, 59-68"
"Berkenkotter, Carol",1989,The legacy of positivism in empirical composition research,JAC: Journal of Advanced Composition,9,1-2,69-82,69,82,,,,"research-method, positivist, history, empirical, epistemological, constructivist, phenomenological",,"*JAC: Journal of Advanced Composition 09.1-2*, 69-82"
"Ronald, Kate; Jon Volimer",1989,Another competing theory of process: The student's,JAC: Journal of Advanced Composition,9,1-2,83-96,83,96,,,,"theory, process, student-opinion, student-centered",,"*JAC: Journal of Advanced Composition 09.1-2*, 83-96"
"Blyler, Nancy Roundy",1989,Purpose and composition theory: Issues in the research,JAC: Journal of Advanced Composition,9,1-2,97-111,97,111,,,,"aim, purpose, theory, research-method, scholarship, process",,"*JAC: Journal of Advanced Composition 09.1-2*, 97-111"
"Comprone, Joseph J",1989,Narrative topic and the contemporary science essay: A lesson from Loren Eiseley's notebooks,JAC: Journal of Advanced Composition,9,1-2,112-123,112,123,,,,"science-writing, Loren Eiseley, notebook, narrative, topic, essay, popular, WAC, aim, mode, narrative",,"*JAC: Journal of Advanced Composition 09.1-2*, 112-123"
"Hilligoss, Susan",1989,Preoccupations: Private writing and advanced composition,JAC: Journal of Advanced Composition,9,1-2,124-134,124,134,,,,"advanced, syllabus, liberal arts, private-public, constructivist, academic, self-evaluation, occupational",,"*JAC: Journal of Advanced Composition 09.1-2*, 124-134"
"Dickerson, Mary Jane",1989,'Shades of deeper meaning': On writing autobiography,JAC: Journal of Advanced Composition,9,1-2,135-150,135,150,,,,"autobiography-writing, constructivist, dialogic, advanced, self, voice",,"*JAC: Journal of Advanced Composition 09.1-2*, 135-150"
"Cherry, Roger D",1989,Fictional scenarios and rhetorical specification in writing tasks: A cautionary note,JAC: Journal of Advanced Composition,9,1-2,151-161,151,161,,,,"rhetorical, task, topic, large-scale, specification, scenario, pedagogy, fictional, assessment, prompt, cautionary",,"*JAC: Journal of Advanced Composition 09.1-2*, 151-161"
"Sternglass, Marilyn",1989,School-sponsored and self-sponsored at the same time,JAC: Journal of Advanced Composition,9,1-2,162-173,162,173,,,,"composing, school-sponsored, self-sponsored, assignment, case-study, graduate, improvement",,"*JAC: Journal of Advanced Composition 09.1-2*, 162-173"
"Hult, Christine",1989,Advanced composition and the computerized library,JAC: Journal of Advanced Composition,9,1-2,174-182,174,182,,,,"advanced, computer, digital, bibliographic-search, internet-search, library, database",,"*JAC: Journal of Advanced Composition 09.1-2*, 174-182"
"Olson, Gary A.; Jacques Derrida",1990,Jacques Derrida on rhetoric and composition: A conversation [interview],JAC: Journal of Advanced Composition,10,1,1-21,1,21,,,,"Derrida, feminism, patriarchy, ideology, style, essentialism, pragmatism, Cixous, gender, canon, rhetoricism, logocentric",,"*JAC: Journal of Advanced Composition 10.1*, 1-21"
"Welch, Kathleen E",1990,"Electrifying classical rhetoric: Ancient media, modern technology, and contemporary composition",JAC: Journal of Advanced Composition,10,1,22-38,22,38,,,,"classical, digital, rhetoric, pedagogy, media, technology, orality, delivery, computer, production, classical-rhetoric, contemporary",,"*JAC: Journal of Advanced Composition 10.1*, 22-38"
"Coe, Richard M",1990,Defining rhetoric--and us,JAC: Journal of Advanced Composition,10,1,39-52,39,52,,,,"rhetoric, definition, composition-studies, Kenneth Burke, CCCC, humanity",,"*JAC: Journal of Advanced Composition 10.1*, 39-52"
